biomass     C:\Users\jpw\OneDrive\Masters 2020-2022\Main Project\Ogmap2 - Demo
Using bandwidths  [ 0.622, 20.2, 1.05 ] 
Year Estimate Mass50 LowCIprob UpCIprob LowCIval UpCIval LRP USR ProbLRP ProbUSR Gini
2324 148 48.1 0.025 0.975 128 169 na na na na na 
2325 119 47.0 0.025 0.975 100 139 na na na na na 
2326 131 46.7 0.025 0.975 112 150 na na na na na 
2327 113 47.9 0.025 0.975 95.4 131 na na na na na 
2328 131 48.6 0.025 0.975 117 147 na na na na na 
2329 136 44.7 0.025 0.975 115 159 na na na na na 
2330 137 48.4 0.025 0.975 120 155 na na na na na 
2331 136 46.6 0.025 0.975 113 163 na na na na na 
2332 156 48.0 0.025 0.975 134 178 na na na na na 
2333 148 48.1 0.025 0.975 128 170 na na na na na 
2334 155 48.4 0.025 0.975 132 180 na na na na na 
2335 127 47.1 0.025 0.975 109 147 na na na na na 
2336 136 47.5 0.025 0.975 118 156 na na na na na 
2337 170 47.6 0.025 0.975 147 194 na na na na na 
2338 129 48.6 0.025 0.975 113 146 na na na na na 
2339 136 48.2 0.025 0.975 118 156 na na na na na 
2340 130 47.4 0.025 0.975 111 150 na na na na na 
2341 116 48.8 0.025 0.975 98.7 135 na na na na na 
2342 142 46.7 0.025 0.975 121 164 na na na na na 
2343 113 47.9 0.025 0.975 97.5 131 na na na na na 
2344 130 48.1 0.025 0.975 113 150 na na na na na 
2345 142 46.9 0.025 0.975 120 167 na na na na na 
2346 132 48.2 0.025 0.975 115 151 na na na na na 
2347 139 48.5 0.025 0.975 120 159 na na na na na 
2348 145 47.5 0.025 0.975 128 165 na na na na na 
2349 126 48.3 0.025 0.975 108 144 na na na na na 
2350 125 48.6 0.025 0.975 109 144 na na na na na 
2351 133 47.6 0.025 0.975 113 154 na na na na na 
2352 131 48.5 0.025 0.975 112 152 na na na na na 
2353 141 46.7 0.025 0.975 123 160 na na na na na 
2354 144 48.7 0.025 0.975 126 163 na na na na na 
2355 153 47.8 0.025 0.975 130 177 na na na na na 
2356 117 47.4 0.025 0.975 98.4 136 na na na na na 
2357 163 48.2 0.025 0.975 138 190 na na na na na 
2358 137 48.4 0.025 0.975 119 157 na na na na na 
2359 135 46.9 0.025 0.975 115 156 na na na na na 
2360 118 47.7 0.025 0.975 101 138 na na na na na 
2361 135 47.7 0.025 0.975 113 158 na na na na na 
2362 139 48.4 0.025 0.975 119 162 na na na na na 
2363 137 47.3 0.025 0.975 117 159 na na na na na 
2364 145 45.3 0.025 0.975 116 174 na na na na na 
2365 152 47.6 0.025 0.975 132 174 na na na na na 
2366 117 47.4 0.025 0.975 97.8 138 na na na na na 
2367 125 49.0 0.025 0.975 109 141 na na na na na 
2368 124 47.2 0.025 0.975 105 145 na na na na na 
2369 143 47.9 0.025 0.975 121 166 na na na na na 
2370 125 47.3 0.025 0.975 107 146 na na na na na 
2371 120 48.2 0.025 0.975 103 136 na na na na na 
2372 187 48.0 0.025 0.975 162 212 na na na na na 
2373 156 47.5 0.025 0.975 132 181 na na na na na 
2374 135 48.9 0.025 0.975 118 154 na na na na na 
2375 141 48.4 0.025 0.975 124 160 na na na na na 
2376 129 48.9 0.025 0.975 111 147 na na na na na 
2377 153 47.2 0.025 0.975 131 177 na na na na na 
2378 147 47.3 0.025 0.975 126 170 na na na na na 
2379 110 47.4 0.025 0.975 93.6 126 na na na na na 
2380 147 47.7 0.025 0.975 126 170 na na na na na 
2381 195 48.2 0.025 0.975 161 233 na na na na na 
2382 131 48.6 0.025 0.975 112 151 na na na na na 
2383 126 46.4 0.025 0.975 109 144 na na na na na 
2384 117 47.6 0.025 0.975 98.9 136 na na na na na 
2385 134 48.5 0.025 0.975 116 155 na na na na na 
2386 146 47.7 0.025 0.975 121 172 na na na na na 
2387 146 46.9 0.025 0.975 123 171 na na na na na 
2388 112 48.6 0.025 0.975 94.5 130 na na na na na 
2389 134 47.7 0.025 0.975 116 153 na na na na na 
2390 151 47.4 0.025 0.975 130 173 na na na na na 
2391 140 48.2 0.025 0.975 120 159 na na na na na 
2392 132 47.1 0.025 0.975 111 153 na na na na na 
2393 134 48.0 0.025 0.975 116 154 na na na na na 
2394 142 47.0 0.025 0.975 122 165 na na na na na 
2395 130 47.3 0.025 0.975 112 149 na na na na na 
2396 120 48.6 0.025 0.975 103 138 na na na na na 
2397 148 49.2 0.025 0.975 130 167 na na na na na 
2398 146 47.8 0.025 0.975 127 167 na na na na na 
2399 129 47.2 0.025 0.975 111 148 na na na na na 
2400 136 47.3 0.025 0.975 114 158 na na na na na 
2401 129 48.2 0.025 0.975 112 146 na na na na na 
2402 115 48.1 0.025 0.975 99.6 132 na na na na na 
2403 152 47.0 0.025 0.975 133 172 na na na na na 
2404 162 47.7 0.025 0.975 136 191 na na na na na 
2405 126 47.1 0.025 0.975 107 146 na na na na na 
2406 113 48.1 0.025 0.975 96.3 132 na na na na na 
2407 151 47.3 0.025 0.975 126 178 na na na na na 
2408 136 47.0 0.025 0.975 117 158 na na na na na 
2409 141 48.2 0.025 0.975 120 163 na na na na na 
2410 128 47.1 0.025 0.975 109 147 na na na na na 
2411 138 47.5 0.025 0.975 118 160 na na na na na 
2412 176 48.4 0.025 0.975 154 200 na na na na na 
